run,input_size,threads,num_chunks,,copied_elements,duration_us
9,10000000,16,2,2,237619,5533
10,10000000,16,2,2,237619,4626
1,1000000000,16,0,0,23813338,522912
2,1000000000,16,0,0,23813338,516331
3,1000000000,16,0,0,23813338,514982
4,1000000000,16,0,0,23813338,518540
5,1000000000,16,0,0,23813338,513119
6,1000000000,16,0,0,23813338,512157
7,1000000000,16,0,0,23813338,517974
8,1000000000,16,0,0,23813338,522166
9,1000000000,16,0,0,23813338,526903
10,1000000000,16,0,0,23813338,560360
1,1000000000,16,1,1,23813338,757894
2,1000000000,16,1,1,23813338,758841
3,1000000000,16,1,1,23813338,768880
4,1000000000,16,1,1,23813338,789812
5,1000000000,16,1,1,23813338,788884
6,1000000000,16,1,1,23813338,749987
7,1000000000,16,1,1,23813338,769006
8,1000000000,16,1,1,23813338,769918
9,1000000000,16,1,1,23813338,734153
10,1000000000,16,1,1,23813338,786512
1,1000000000,16,2,2,23813338,520313
2,1000000000,16,2,2,23813338,529474
3,1000000000,16,2,2,23813338,512057
4,1000000000,16,2,2,23813338,523456
5,1000000000,16,2,2,23813338,596170
6,1000000000,16,2,2,23813338,516626
7,1000000000,16,2,2,23813338,581181
8,1000000000,16,2,2,23813338,522417
9,1000000000,16,2,2,23813338,518971
10,1000000000,16,2,2,23813338,563410
1,100000,24,0,0,2343,589
2,100000,24,0,0,2343,610
3,100000,24,0,0,2343,820
4,100000,24,0,0,2343,787
5,100000,24,0,0,2343,784
6,100000,24,0,0,2343,821
7,100000,24,0,0,2343,717
8,100000,24,0,0,2343,709
9,100000,24,0,0,2343,713
10,100000,24,0,0,2343,642
1,100000,24,1,1,2343,325
2,100000,24,1,1,2343,263
3,100000,24,1,1,2343,282
4,100000,24,1,1,2343,342
5,100000,24,1,1,2343,247
6,100000,24,1,1,2343,233
7,100000,24,1,1,2343,319
8,100000,24,1,1,2343,366
9,100000,24,1,1,2343,287
10,100000,24,1,1,2343,284
1,100000,24,2,2,2343,470
2,100000,24,2,2,2343,418
3,100000,24,2,2,2343,496
4,100000,24,2,2,2343,461
5,100000,24,2,2,2343,435
6,100000,24,2,2,2343,531
7,100000,24,2,2,2343,448
8,100000,24,2,2,2343,409
9,100000,24,2,2,2343,435
10,100000,24,2,2,2343,534
1,10000000,24,0,0,237619,4510
2,10000000,24,0,0,237619,4454
3,10000000,24,0,0,237619,4549
4,10000000,24,0,0,237619,4704
5,10000000,24,0,0,237619,4451
6,10000000,24,0,0,237619,4810
7,10000000,24,0,0,237619,4588
8,10000000,24,0,0,237619,4621
9,10000000,24,0,0,237619,4606
10,10000000,24,0,0,237619,4613
1,10000000,24,1,1,237619,6010
2,10000000,24,1,1,237619,6044
3,10000000,24,1,1,237619,6049
4,10000000,24,1,1,237619,5370
5,10000000,24,1,1,237619,5878
6,10000000,24,1,1,237619,6036
7,10000000,24,1,1,237619,6147
8,10000000,24,1,1,237619,5961
9,10000000,24,1,1,237619,6241
10,10000000,24,1,1,237619,5979
1,10000000,24,2,2,237619,4534
2,10000000,24,2,2,237619,4681
3,10000000,24,2,2,237619,4457
