run,input_size,threads,num_chunks,,copied_elements,duration_us
4,1000000000,4,0,0,23813338,1666234
5,1000000000,4,0,0,23813338,1666138
6,1000000000,4,0,0,23813338,1661645
7,1000000000,4,0,0,23813338,1667766
8,1000000000,4,0,0,23813338,1704947
9,1000000000,4,0,0,23813338,1665441
10,1000000000,4,0,0,23813338,1658850
1,1000000000,4,1,1,23813338,1821806
2,1000000000,4,1,1,23813338,1839787
3,1000000000,4,1,1,23813338,1825888
4,1000000000,4,1,1,23813338,1832945
5,1000000000,4,1,1,23813338,1825655
6,1000000000,4,1,1,23813338,1833279
7,1000000000,4,1,1,23813338,1834249
8,1000000000,4,1,1,23813338,1813678
9,1000000000,4,1,1,23813338,1838595
10,1000000000,4,1,1,23813338,1827035
1,1000000000,4,2,2,23813338,1787527
2,1000000000,4,2,2,23813338,1789157
3,1000000000,4,2,2,23813338,1850945
4,1000000000,4,2,2,23813338,1824420
5,1000000000,4,2,2,23813338,1814474
6,1000000000,4,2,2,23813338,1781172
7,1000000000,4,2,2,23813338,1822945
8,1000000000,4,2,2,23813338,1843887
9,1000000000,4,2,2,23813338,1808935
10,1000000000,4,2,2,23813338,1835350
1,100000,8,0,0,2343,932
2,100000,8,0,0,2343,901
3,100000,8,0,0,2343,1056
4,100000,8,0,0,2343,1123
5,100000,8,0,0,2343,997
6,100000,8,0,0,2343,975
7,100000,8,0,0,2343,1219
8,100000,8,0,0,2343,955
9,100000,8,0,0,2343,1088
10,100000,8,0,0,2343,955
1,100000,8,1,1,2343,581
2,100000,8,1,1,2343,652
3,100000,8,1,1,2343,572
4,100000,8,1,1,2343,652
5,100000,8,1,1,2343,663
6,100000,8,1,1,2343,731
7,100000,8,1,1,2343,511
8,100000,8,1,1,2343,556
9,100000,8,1,1,2343,639
10,100000,8,1,1,2343,565
1,100000,8,2,2,2343,630
2,100000,8,2,2,2343,636
3,100000,8,2,2,2343,717
4,100000,8,2,2,2343,672
5,100000,8,2,2,2343,684
